1飞1,1宫是命宫，首先的特质就是看重自我，一宫非常强大，如果是旺星的话，则会有自信也有能力，如果是衰星的话，就是自我意识很强，但是并不具备强大的能力，心力交瘁
1飞2,财星入命。12互飞是一个还不错的位置。如果星的分数不是那么的低分的话，1和2互飞基本上是吃喝不愁的意思，因为2宫是资粮，是代表生活的基本资料。相比而言，2妃1要更好一点，毕竟是财星入命。
2飞1,12互飞是一个还不错的位置。如果星的分数不是那么的低分的话，1和2互飞基本上是吃喝不愁的意思，因为2宫是资粮，是代表生活的基本资料。相比而言，2妃1要更好一点，毕竟是财星入命。
1飞3,如果有兄弟姐妹的话，这个人会很关注他的兄弟姐妹，如果没有兄弟姐妹的话，他很想要去做那种要讲话，要沟通，要出行的这种工作种类，或者说是人生状态。
3飞1,如果是旺星，兄弟姐妹会来帮助我，跟交通、传媒、口才方面的事务缘分好，如果是衰星，兄弟姐妹会来纠缠我，容易出交通事故，祸从口出等等。
1飞4,命星入宅。无论旺衰，都会去关照父母、原生家庭，或者说喜欢留在出生地，喜欢房产等等，对原生家庭很看重，旺星的话就会去帮助资助父母，还会喜欢投资房产，买地皮等等，衰星的话则会向父母要钱，啃老，购买房产不顺利等等。
4飞1,宅星入命。旺星的话会有强有力的父母家族支持自己。衰星会有樊胜美的妈妈那种父母来耗谢自己
1飞5,命星入桃花子女宫。①就有可能很贪玩，要去赌博，找桃花等 ②也属于恋爱脑的一种 ③若有小孩就是要照顾小孩，对小孩很上心，也喜欢小孩。所以这种最好是旺星，衰：容易吃恋爱亏，或者沉迷赌博。ps：这也可以解释有一些渣男为什么生了小孩就特别喜欢孩子，也不出去花了，参考陈老师就是这个原因。这也解释了我们之前说的切蛋糕理论，你把它占掉了，他以后其他方面就少。
5飞1,桃花入命，桃花很多。旺：桃花子女都可以帮到自己。衰：桃花子女都来找麻烦。
1飞6,命星入病宫。或多或少身体上都有点问题，或者特别关注健康方面的问题，关注工作，同时也容易从事为别人服务的工作，服务意识很强。旺：会呈现出健康、良好、细心的特点。衰：就是健康问题，社会地位低下等等。
6飞1,病星入命。这个配置呢比较麻烦，跟健康疾病有关的事物会主动到命宫来，在工作上也会被追着跑，旺星还好一点，可以增强命宫的细心和耐心，衰星就直接影响健康。
1飞7,这个配置会比较关注和关照配偶或者合伙人的动向，但是需要注意一点，关照配偶能不能得到回应和回报，这是后面才会讲的内容。旺星会给配偶带去关注资源等等。衰星会去折磨配偶，争夺配偶的资源，或者配偶本身也不旺
7飞1,对婚姻比较有利，会找到背景能力不错的伴侣，颜值也还可以的那种，婚后人生将会发生很大改变。[得吉:另一半对自己帮助较大，感情较为深厚。][受克:婚后人生会变得较为艰难。]
1飞8,会很关注金钱、投资等事物，喜欢做生意，同时对于心理学、神秘学感兴趣，注重隐私。旺性的话会容易得财，也有比较强大的心理，对于人情冷暖较为清醒。衰星的话则会有心理疾病的倾向，压力过大，无处疏解，遇到各类意外的比例会增高。
8飞1,灾星入命和财星入命。旺星：基本上都是可以带财的。灾星：会带来灾难和破财的事情。
1飞9,会往国外走，会对宗教、哲学，外国事物有兴趣，有的时候就生在国外，或者在海外定居，和父母不同国籍等等。旺星：在外地取得好运，读书考试都很好。衰星：到了外地就倒霉，读书考试不顺利。
